,Signal,Close
2024-01-18,-1,1357.8995361328125
2024-01-19,-1,1357.4031982421875
2024-01-23,-1,1318.8138427734375
2024-01-24,1,1334.00146484375
2024-01-25,1,1343.1337890625
2024-01-29,-1,1437.4111328125
2024-01-30,1,1397.2830810546875
2024-01-31,1,1416.1435546875
2024-02-01,-1,1416.1683349609375
2024-02-02,-1,1446.9901123046875
2024-02-05,1,1428.452392578125
2024-02-06,1,1417.309814453125
2024-02-07,-1,1431.554443359375
2024-02-08,-1,1439.4708251953125
2024-02-09,-1,1450.0177001953125
2024-02-12,1,1441.679443359375
2024-02-13,1,1454.3358154296875
2024-02-14,-1,1470.4912109375
2024-02-15,-1,1459.7952880859375
2024-02-16,1,1449.843994140625
2024-02-20,-1,1460.2174072265625
2024-02-21,-1,1456.916748046875
2024-02-22,-1,1470.8634033203125
2024-02-23,-1,1482.6512451171875
2024-02-26,-1,1476.3974609375
2024-02-27,-1,1474.73486328125
2024-02-28,1,1444.930419921875
2024-02-29,1,1450.0675048828125
2024-03-01,-1,1481.1622314453125
2024-03-04,-1,1496.3250732421875
2024-03-05,-1,1489.1778564453125
2024-03-06,-1,1491.9573974609375
2024-03-07,-1,1468.059326171875
2024-03-11,-1,1455.82470703125
2024-03-12,-1,1464.5850830078125
2024-03-13,-1,1421.6527099609375
2024-03-14,1,1420.9578857421875
2024-03-15,-1,1407.80517578125
2024-03-18,-1,1428.8990478515625
2024-03-19,-1,1414.778564453125
2024-03-20,-1,1433.142578125
2024-03-21,-1,1440.3145751953125
2024-03-22,1,1444.3348388671875
2024-03-26,0,1430.983642578125
2024-03-27,1,1481.8819580078125
2024-03-28,-1,1474.933349609375
2024-04-01,-1,1473.8663330078125
2024-04-02,1,1476.025146484375
2024-04-03,-1,1460.7880859375
2024-04-04,-1,1452.1768798828125
2024-04-05,-1,1449.3724365234375
2024-04-08,-1,1475.057373046875
2024-04-09,-1,1452.896484375
2024-04-10,-1,1468.7044677734375
2024-04-12,0,1456.3707275390625
2024-04-15,0,1454.062744140625
2024-04-16,-1,1454.9810791015625
2024-04-18,-1,1453.56640625
2024-04-19,0,1459.323974609375
2024-04-22,0,1468.9774169921875
2024-04-23,0,1448.603271484375
2024-04-24,0,1439.5205078125
2024-04-25,0,1449.2484130859375
2024-04-26,0,1441.878173828125
2024-04-29,0,1454.2613525390625
2024-04-30,0,1456.2218017578125
