,Signal,Close
2024-01-18,1,21462.25
2024-01-19,-1,21622.400390625
2024-01-23,-1,21238.80078125
2024-01-24,1,21453.94921875
2024-01-25,1,21352.599609375
2024-01-29,1,21737.599609375
2024-01-30,1,21522.099609375
2024-01-31,1,21725.69921875
2024-02-01,-1,21697.44921875
2024-02-02,0,21853.80078125
2024-02-05,0,21771.69921875
2024-02-06,0,21929.400390625
2024-02-07,0,21930.5
2024-02-08,0,21717.94921875
2024-02-09,0,21782.5
2024-02-12,1,21616.05078125
2024-02-13,1,21743.25
2024-02-14,0,21840.05078125
2024-02-15,0,21910.75
2024-02-16,0,22040.69921875
2024-02-20,0,22196.94921875
2024-02-21,0,22055.05078125
2024-02-22,-1,22217.44921875
2024-02-23,0,22212.69921875
2024-02-26,-1,22122.05078125
2024-02-27,1,22198.349609375
2024-02-28,1,21951.150390625
2024-02-29,1,21982.80078125
2024-03-01,-1,22338.75
2024-03-04,-1,22405.599609375
2024-03-05,-1,22356.30078125
2024-03-06,-1,22474.05078125
2024-03-07,-1,22493.55078125
2024-03-11,-1,22332.650390625
2024-03-12,-1,22335.69921875
2024-03-13,0,21997.69921875
2024-03-14,1,22146.650390625
2024-03-15,-1,22023.349609375
2024-03-18,-1,22055.69921875
2024-03-19,-1,21817.44921875
2024-03-20,-1,21839.099609375
2024-03-21,-1,22011.94921875
2024-03-22,1,22096.75
2024-03-26,0,22004.69921875
2024-03-27,1,22123.650390625
2024-03-28,-1,22326.900390625
2024-04-01,1,22462.0
2024-04-02,1,22453.30078125
2024-04-03,-1,22434.650390625
2024-04-04,-1,22514.650390625
2024-04-05,-1,22513.69921875
2024-04-08,-1,22666.30078125
2024-04-09,-1,22642.75
2024-04-10,-1,22753.80078125
2024-04-12,0,22519.400390625
2024-04-15,0,22272.5
2024-04-16,0,22147.900390625
2024-04-18,-1,21995.849609375
2024-04-19,0,22147.0
2024-04-22,0,22336.400390625
2024-04-23,0,22368.0
2024-04-24,0,22402.400390625
2024-04-25,0,22570.349609375
2024-04-26,0,22419.94921875
2024-04-29,0,22643.400390625
2024-04-30,0,22604.849609375
2024-05-02,0,22648.19921875
2024-05-03,0,22475.849609375
2024-05-06,0,22442.69921875
2024-05-07,-1,22302.5
2024-05-08,0,22302.5
2024-05-09,0,21957.5
2024-05-10,0,22055.19921875
2024-05-13,0,22104.05078125
2024-05-14,0,22217.849609375
2024-05-15,0,22200.55078125
2024-05-16,0,22403.849609375
2024-05-17,0,22466.099609375
2024-05-21,0,22529.05078125
2024-05-22,1,22597.80078125
2024-05-23,1,22967.650390625
2024-05-24,1,22957.099609375
2024-05-27,1,22932.44921875
2024-05-28,1,22888.150390625
2024-05-29,1,22704.69921875
2024-05-30,1,22488.650390625
2024-05-31,1,22530.69921875
2024-06-03,1,23263.900390625
2024-06-04,1,21884.5
2024-06-05,1,22620.349609375
2024-06-06,0,22821.400390625
2024-06-07,0,23290.150390625
2024-06-10,-1,23259.19921875
2024-06-11,-1,23264.849609375
2024-06-12,1,23322.94921875
2024-06-13,0,23398.900390625
2024-06-14,-1,23465.599609375
2024-06-18,-1,23557.900390625
2024-06-19,-1,23516.0
2024-06-20,-1,23567.0
2024-06-21,-1,23501.099609375
2024-06-24,-1,23537.849609375
2024-06-25,-1,23721.30078125
2024-06-26,1,23868.80078125
2024-06-27,0,24044.5
2024-06-28,0,24010.599609375
2024-07-01,0,24141.94921875
2024-07-02,0,24123.849609375
2024-07-03,1,24286.5
2024-07-04,0,24302.150390625
2024-07-05,0,24323.849609375
2024-07-08,0,24320.55078125
2024-07-09,0,24433.19921875
2024-07-10,0,24324.44921875
2024-07-11,0,24315.94921875
2024-07-12,0,24502.150390625
2024-07-15,0,24586.69921875
2024-07-16,-1,24613.0
2024-07-18,0,24800.849609375
2024-07-19,0,24530.900390625
2024-07-22,0,24509.25
2024-07-23,0,24479.05078125
2024-07-24,0,24413.5
2024-07-25,-1,24406.099609375
2024-07-26,-1,24834.849609375
2024-07-29,0,24836.099609375
2024-07-30,0,24857.30078125
2024-07-31,-1,24951.150390625
2024-08-01,-1,25010.900390625
2024-08-02,-1,24717.69921875
2024-08-05,1,24055.599609375
2024-08-06,1,23992.55078125
2024-08-07,1,24297.5
2024-08-08,-1,24117.0
2024-08-09,1,24367.5
2024-08-12,1,24347.0
2024-08-13,1,24139.0
2024-08-14,0,24143.75
2024-08-16,0,24541.150390625
2024-08-19,0,24572.650390625
2024-08-20,0,24698.849609375
2024-08-21,0,24770.19921875
2024-08-22,0,24811.5
2024-08-23,0,24823.150390625
2024-08-26,0,25010.599609375
2024-08-27,0,25017.75
2024-08-28,-1,25052.349609375
2024-08-29,-1,25151.94921875
2024-08-30,-1,25235.900390625
2024-09-02,-1,25278.69921875
2024-09-03,-1,25279.849609375
2024-09-04,-1,25198.69921875
2024-09-05,-1,25145.099609375
2024-09-06,0,24852.150390625
2024-09-09,0,24936.400390625
2024-09-10,0,25041.099609375
2024-09-11,0,24918.44921875
2024-09-12,0,25388.900390625
2024-09-13,-1,25356.5
2024-09-16,-1,25383.75
2024-09-17,-1,25418.55078125
2024-09-18,0,25377.55078125
2024-09-19,0,25415.80078125
2024-09-20,-1,25790.94921875
2024-09-23,-1,25939.05078125
2024-09-24,-1,25940.400390625
2024-09-25,-1,26004.150390625
2024-09-26,-1,26216.05078125
2024-09-27,0,26178.94921875
2024-09-30,-1,25810.849609375
2024-10-01,-1,25796.900390625
2024-10-03,-1,25250.099609375
2024-10-04,-1,25014.599609375
2024-10-07,-1,24795.75
2024-10-08,0,25013.150390625
2024-10-09,0,24981.94921875
2024-10-10,0,24998.44921875
2024-10-11,0,24964.25
2024-10-14,0,25127.94921875
2024-10-15,0,25057.349609375
2024-10-16,-1,24971.30078125
2024-10-17,-1,24749.849609375
2024-10-18,0,24854.05078125
2024-10-21,0,24781.099609375
2024-10-22,0,24472.099609375
2024-10-23,0,24435.5
2024-10-24,0,24399.400390625
2024-10-25,0,24180.80078125
2024-10-28,1,24339.150390625
2024-10-29,1,24466.849609375
