,Signal,Close
2024-01-18,1,759.3064575195312
2024-01-19,-1,752.0858154296875
2024-01-23,0,697.6915283203125
2024-01-24,1,697.9888916015625
2024-01-25,1,701.2274780273438
2024-01-29,1,703.5242309570312
2024-01-30,1,722.9884643554688
2024-01-31,1,767.8654174804688
2024-02-01,-1,823.9947509765625
2024-02-02,0,814.5930786132812
2024-02-05,0,846.3341064453125
2024-02-06,0,816.030517578125
2024-02-07,0,826.754150390625
2024-02-08,0,830.042236328125
2024-02-09,0,822.722412109375
2024-02-12,1,780.637939453125
2024-02-13,1,773.9129638671875
2024-02-14,0,775.6644287109375
2024-02-15,0,767.9315185546875
2024-02-16,0,761.322265625
2024-02-20,0,759.0586547851562
2024-02-21,0,732.3737182617188
2024-02-22,1,727.0862426757812
2024-02-23,1,752.3997802734375
2024-02-26,1,753.1102905273438
2024-02-27,1,791.8241577148438
2024-02-28,1,772.392822265625
2024-02-29,1,782.1580810546875
2024-03-01,1,772.1119384765625
2024-03-04,1,766.527099609375
2024-03-05,-1,755.7705078125
2024-03-06,-1,759.7525634765625
2024-03-07,-1,741.5110473632812
2024-03-11,-1,728.3750610351562
2024-03-12,-1,710.017822265625
2024-03-13,0,664.7938232421875
2024-03-14,1,676.9383544921875
2024-03-15,-1,688.1576538085938
2024-03-18,-1,672.6588745117188
2024-03-19,-1,646.601806640625
2024-03-20,-1,671.88232421875
2024-03-21,-1,741.26318359375
2024-03-22,-1,726.2931518554688
2024-03-26,0,763.437255859375
2024-03-27,1,814.1304321289062
2024-03-28,-1,831.4136962890625
2024-04-01,-1,895.5235595703125
2024-04-02,1,910.8736572265625
2024-04-03,-1,945.5228271484375
2024-04-04,-1,955.1062622070312
2024-04-05,-1,950.2814331054688
2024-04-08,-1,925.8601684570312
2024-04-09,-1,907.354248046875
2024-04-10,-1,946.2828369140625
2024-04-12,-1,934.8652954101562
2024-04-15,1,920.0935668945312
2024-04-16,-1,937.1124877929688
2024-04-18,-1,919.0526123046875
2024-04-19,-1,914.9052734375
2024-04-22,-1,942.251220703125
2024-04-23,0,1057.434326171875
2024-04-24,1,1034.3348388671875
2024-04-25,-1,1040.1510009765625
2024-04-26,0,1060.9041748046875
2024-04-29,0,915.7975463867188
2024-04-30,-1,922.0433349609375
2024-05-02,0,944.7131958007812
2024-05-03,0,942.0693969726562
2024-05-06,1,940.2353515625
2024-05-07,-1,927.7603149414062
2024-05-08,-1,931.7093505859375
2024-05-09,0,895.6062622070312
2024-05-10,1,875.7288208007812
2024-05-13,1,858.4290771484375
2024-05-14,1,886.5184326171875
2024-05-15,-1,938.8143310546875
2024-05-16,-1,931.3623657226562
2024-05-17,0,919.6804809570312
2024-05-21,0,900.9432373046875
2024-05-22,1,877.6620483398438
2024-05-23,1,863.8156127929688
2024-05-24,1,902.198974609375
2024-05-27,1,893.4086303710938
2024-05-28,1,893.0947265625
2024-05-29,1,871.4989013671875
2024-05-30,1,844.2686767578125
2024-05-31,1,890.2196655273438
2024-06-03,1,894.8627319335938
2024-06-04,1,844.9957275390625
2024-06-05,1,879.9091796875
2024-06-06,1,892.632080078125
2024-06-07,0,886.2376098632812
2024-06-10,1,879.2648315429688
2024-06-11,-1,883.1311645507812
2024-06-12,1,893.1939086914062
2024-06-13,0,904.2147827148438
2024-06-14,-1,916.7420043945312
2024-06-18,-1,909.9135131835938
2024-06-19,-1,900.2440185546875
2024-06-20,-1,877.0504760742188
2024-06-21,-1,850.7169189453125
2024-06-24,-1,830.0321655273438
2024-06-25,-1,837.5418090820312
2024-06-26,1,844.3702392578125
2024-06-27,0,848.5902709960938
2024-06-28,-1,858.1434326171875
2024-07-01,-1,855.3356323242188
2024-07-02,0,826.4268188476562
2024-07-03,1,816.6742553710938
2024-07-04,1,816.5413208007812
2024-07-05,-1,799.2625122070312
2024-07-08,-1,790.9553833007812
2024-07-09,1,776.4178466796875
2024-07-10,1,749.05419921875
2024-07-11,1,775.0721435546875
2024-07-12,0,785.4560546875
2024-07-15,0,787.9315795898438
2024-07-16,1,787.9814453125
2024-07-18,1,764.38916015625
2024-07-19,1,748.5557861328125
2024-07-22,1,733.80224609375
2024-07-23,0,739.7667846679688
2024-07-24,-1,801.9706420898438
2024-07-25,-1,820.1798706054688
2024-07-26,-1,813.268310546875
2024-07-29,0,810.8593139648438
2024-07-30,0,801.5718383789062
2024-07-31,-1,849.4708251953125
2024-08-01,-1,878.3131713867188
2024-08-02,-1,851.8798828125
2024-08-05,1,793.3644409179688
2024-08-06,1,770.0214233398438
2024-08-07,1,797.0029907226562
2024-08-08,-1,863.8753662109375
2024-08-09,1,880.7222290039062
2024-08-12,1,854.5215454101562
2024-08-13,0,861.3001708984375
2024-08-14,0,850.5507202148438
2024-08-16,0,879.2103881835938
2024-08-19,0,889.261962890625
2024-08-20,0,898.167236328125
2024-08-21,0,893.8143310546875
2024-08-22,0,906.0922241210938
2024-08-23,0,911.0100708007812
2024-08-26,0,906.3580932617188
2024-08-27,0,897.25341796875
2024-08-28,-1,923.96923828125
2024-08-29,-1,934.3032836914062
2024-08-30,-1,941.248046875
2024-09-02,-1,918.8021850585938
2024-09-03,-1,907.7869262695312
2024-09-04,-1,917.2237548828125
2024-09-05,-1,960.5039672851562
2024-09-06,0,938.4568481445312
2024-09-09,0,941.9624633789062
2024-09-10,1,947.2457885742188
2024-09-11,0,957.6130981445312
2024-09-12,0,953.3265991210938
2024-09-13,-1,964.5245971679688
2024-09-16,-1,1140.3367919921875
2024-09-17,-1,1107.739501953125
2024-09-18,-1,1294.6334228515625
2024-09-19,-1,1233.17724609375
2024-09-20,-1,1324.140380859375
2024-09-23,-1,1306.6622314453125
2024-09-24,-1,1322.54541015625
2024-09-25,-1,1275.26123046875
2024-09-26,1,1249.0771484375
2024-09-27,1,1211.49560546875
2024-09-30,1,1224.3551025390625
2024-10-01,1,1282.255859375
2024-10-03,-1,1313.7232666015625
2024-10-04,-1,1365.077880859375
2024-10-07,-1,1271.47314453125
2024-10-08,-1,1409.7703857421875
2024-10-09,1,1389.301513671875
2024-10-10,1,1400.9647216796875
2024-10-11,1,1494.1043701171875
2024-10-14,1,1598.126220703125
2024-10-15,1,1579.10302734375
2024-10-16,1,1502.54443359375
2024-10-17,-1,1414.721435546875
2024-10-18,-1,1420.453369140625
2024-10-21,1,1440.257568359375
2024-10-22,1,1359.1300048828125
2024-10-23,-1,1419.921630859375
2024-10-24,1,1437.117431640625
2024-10-25,1,1349.9921875
2024-10-28,1,1384.034912109375
2024-10-29,1,1423.5269775390625
2024-10-30,1,1442.334228515625
2024-10-31,1,1483.8533935546875
2024-11-01,1,1483.205322265625
2024-11-04,1,1466.5911865234375
2024-11-05,-1,1529.49267578125
2024-11-06,-1,1556.6072998046875
2024-11-07,1,1618.9107666015625
2024-11-08,1,1559.714111328125
2024-11-11,0,1536.2049560546875
2024-11-12,0,1554.4971923828125
2024-11-13,-1,1492.559326171875
2024-11-14,1,1511.167236328125
2024-11-18,1,1563.7347412109375
2024-11-19,-1,1570.8289794921875
2024-11-21,1,1560.1295166015625
2024-11-22,-1,1568.3701171875
2024-11-25,1,1557.3548583984375
2024-11-26,-1,1472.3895263671875
2024-11-27,1,1487.3922119140625
2024-11-28,1,1519.8564453125
2024-11-29,1,1552.0216064453125
2024-12-02,1,1516.5003662109375
2024-12-03,1,1499.8695068359375
2024-12-04,-1,1519.2252197265625
2024-12-05,-1,1726.18896484375
2024-12-06,1,1793.1611328125
2024-12-09,1,1816.6370849609375
2024-12-10,1,1816.387939453125
2024-12-11,1,1844.91455078125
2024-12-12,1,1864.353271484375
2024-12-13,-1,1872.4111328125
2024-12-16,-1,1881.9976806640625
2024-12-17,-1,1903.297119140625
2024-12-18,-1,1871.5804443359375
2024-12-19,1,1924.413818359375
2024-12-20,-1,1841.8077392578125
2024-12-23,1,1843.61865234375
2024-12-24,-1,1810.8221435546875
2024-12-26,1,1808.4130859375
2024-12-27,-1,1753.9681396484375
2024-12-30,-1,1763.9366455078125
2024-12-31,1,1769.55224609375
2025-01-02,-1,1816.3380126953125
2025-01-03,-1,1774.320556640625
2025-01-06,-1,1691.0
2025-01-07,-1,1790.4530029296875
2025-01-08,-1,1794.4736328125
2025-01-09,1,1729.628173828125
2025-01-10,1,1701.84912109375
2025-01-13,1,1713.4625244140625
2025-01-14,1,1810.5728759765625
2025-01-15,1,1922.6029052734375
2025-01-16,-1,1991.9342041015625
2025-01-17,-1,1993.296630859375
2025-01-20,1,1986.9998779296875
2025-01-21,1,1923.8988037109375
2025-01-22,-1,1913.531494140625
2025-01-23,-1,1963.7066650390625
2025-01-24,-1,1939.084228515625
2025-01-27,-1,1808.0142822265625
2025-01-28,1,1713.5123291015625
2025-01-29,-1,1781.963134765625
2025-01-30,-1,1740.8096923828125
2025-01-31,1,1763.08935546875
2025-02-03,1,1799.4578857421875
2025-02-04,1,1849.2841796875
2025-02-05,-1,1938.2535400390625
2025-02-06,-1,1850.01513671875
2025-02-07,-1,1902.698974609375
2025-02-10,-1,1870.6334228515625
2025-02-11,-1,1723.6138916015625
2025-02-12,-1,1779.487548828125
2025-02-13,-1,1746.308837890625
2025-02-14,-1,1701.483642578125
2025-02-17,-1,1730.7745361328125
2025-02-18,1,1723.264892578125
2025-02-19,-1,1871.0986328125
2025-02-20,-1,1980.1380615234375
2025-02-21,-1,1913.2325439453125
2025-02-24,-1,1863.8714599609375
2025-02-25,-1,1828.23388671875
2025-02-27,-1,1715.4229736328125
2025-02-28,1,1539.71044921875
2025-03-03,-1,1448.581298828125
2025-03-04,-1,1479.882568359375
2025-03-05,-1,1428.52783203125
2025-03-06,-1,1413.3590087890625
2025-03-07,-1,1388.3878173828125
2025-03-10,-1,1328.7923583984375
2025-03-11,-1,1265.9239501953125
2025-03-12,-1,1333.9261474609375
2025-03-13,1,1304.63525390625
2025-03-17,1,1316.6307373046875
2025-03-18,1,1316.6307373046875
2025-03-19,1,1459.5467529296875
2025-03-20,1,1488.0068359375
2025-03-21,-1,1588.24072265625
2025-03-24,-1,1546.8048095703125
2025-03-25,1,1545.675048828125
2025-03-26,-1,1486.8770751953125
2025-03-27,-1,1556.540771484375
2025-03-28,-1,1820.8570556640625
2025-04-01,-1,1816.2716064453125
2025-04-02,-1,1879.0235595703125
2025-04-03,-1,1867.7259521484375
2025-04-04,-1,1833.36767578125
2025-04-07,-1,1722.052001953125
2025-04-08,1,1840.2625732421875
2025-04-09,1,1843.63525390625
2025-04-11,1,1875.6676025390625
2025-04-15,1,1979.7559814453125
2025-04-16,1,1970.6181640625
2025-04-17,1,1970.7843017578125
2025-04-21,1,2088.413330078125
2025-04-22,0,2073.958740234375
2025-04-23,0,2139.585205078125
2025-04-24,0,2157.69482421875
2025-04-25,0,2094.560546875
2025-04-28,1,2181.287109375
2025-04-29,-1,2206.872802734375
2025-04-30,-1,2113.00244140625
2025-05-02,-1,2099.04638671875
2025-05-05,1,2144.4033203125
2025-05-06,0,2075.121826171875
2025-05-07,-1,2210.528076171875
2025-05-08,1,2222.98876953125
2025-05-09,1,2183.779296875
2025-05-12,1,2311.210693359375
2025-05-13,-1,2430.833251953125
2025-05-14,1,2449.0
2025-05-15,-1,2382.666748046875
2025-05-16,-1,2426.333251953125
2025-05-19,-1,2486.333251953125
2025-05-20,-1,2461.833251953125
2025-05-21,-1,2435.0
2025-05-22,-1,2332.166748046875
2025-05-23,-1,2448.0
2025-05-26,-1,2450.0
2025-05-27,-1,2404.0
2025-05-28,1,2404.0
2025-05-29,1,2464.5
2025-05-30,1,2674.0
2025-06-02,1,2693.300048828125
2025-06-03,1,2764.89990234375
2025-06-04,1,2797.10009765625
2025-06-05,1,2909.800048828125
2025-06-06,1,2933.199951171875
2025-06-09,-1,2994.39990234375
2025-06-10,-1,3005.39990234375
2025-06-11,-1,2882.39990234375
2025-06-12,-1,2754.10009765625
2025-06-13,-1,2711.199951171875
2025-06-16,-1,2697.39990234375
2025-06-17,-1,2664.39990234375
2025-06-18,-1,2633.199951171875
2025-06-19,-1,2595.39990234375
2025-06-20,-1,2688.10009765625
2025-06-23,-1,2775.300048828125
2025-06-24,1,2785.60009765625
2025-06-25,-1,2789.0
2025-06-26,-1,2803.0
2025-06-27,1,2775.60009765625
2025-06-30,-1,2770.10009765625
2025-07-01,-1,2775.10009765625
2025-07-02,-1,2752.39990234375
2025-07-03,-1,2820.10009765625
2025-07-04,-1,2635.199951171875
2025-07-07,-1,2636.199951171875
2025-07-08,-1,2477.0
2025-07-09,-1,2523.800048828125
2025-07-10,1,2466.300048828125
2025-07-11,-1,2371.10009765625
2025-07-14,-1,2460.699951171875
2025-07-15,-1,2546.0
2025-07-16,-1,2530.0
2025-07-17,-1,2474.89990234375
2025-07-18,1,2448.5
2025-07-21,1,2521.300048828125
2025-07-22,-1,2548.39990234375
2025-07-23,1,2557.199951171875
2025-07-24,-1,2547.800048828125
2025-07-25,1,2454.0
2025-07-28,-1,2449.89990234375
2025-07-29,-1,2487.10009765625
2025-07-30,-1,2457.5
2025-07-31,-1,2427.39990234375
2025-08-01,-1,2411.300048828125
2025-08-04,-1,2486.60009765625
2025-08-05,-1,2367.199951171875
2025-08-06,0,2387.60009765625
2025-08-07,0,2442.199951171875
2025-08-08,0,2392.89990234375
2025-08-11,0,2396.300048828125
2025-08-12,0,2368.699951171875
2025-08-13,0,2496.39990234375
2025-08-14,0,2482.0
2025-08-18,0,2494.800048828125
2025-08-19,0,2491.5
2025-08-20,0,2523.0
2025-08-21,0,2332.199951171875
2025-08-22,0,2332.800048828125
2025-08-25,0,2290.800048828125
2025-08-26,0,2215.60009765625
2025-08-28,0,2178.39990234375
2025-08-29,0,2096.199951171875
2025-09-01,0,2180.39990234375
2025-09-02,0,2194.199951171875
2025-09-03,-1,2214.0
2025-09-04,-1,2219.5
2025-09-05,-1,2319.60009765625
2025-09-08,-1,2346.199951171875
2025-09-09,-1,2353.199951171875
2025-09-10,1,2266.5
2025-09-11,1,2162.800048828125
2025-09-12,1,2201.199951171875
2025-09-15,-1,2227.39990234375
2025-09-16,-1,2199.300048828125
2025-09-17,-1,2209.800048828125
2025-09-18,-1,2198.300048828125
2025-09-19,1,2182.60009765625
2025-09-22,-1,2156.199951171875
2025-09-23,-1,2122.199951171875
2025-09-24,-1,2076.39990234375
2025-09-25,1,2043.300048828125
2025-09-26,0,2043.199951171875
2025-09-29,0,2097.39990234375
2025-09-30,0,2040.199951171875
2025-10-01,0,2081.39990234375
2025-10-03,0,2093.39990234375
2025-10-06,0,2217.89990234375
2025-10-07,0,2231.199951171875
2025-10-08,0,2244.199951171875
2025-10-09,0,2330.199951171875
2025-10-10,0,2385.0
2025-10-13,0,2476.0
2025-10-14,0,2448.300048828125
2025-10-15,0,2456.300048828125
2025-10-16,0,2509.199951171875
2025-10-17,0,2485.60009765625
2025-10-20,0,2494.10009765625
2025-10-21,0,2487.800048828125
2025-10-23,0,2487.5
2025-10-24,0,2475.0
2025-10-27,0,2510.199951171875
2025-10-28,0,2419.699951171875
2025-10-29,0,2447.300048828125
2025-10-30,0,2442.800048828125
2025-10-31,0,2479.0
2025-11-03,0,2548.300048828125
2025-11-04,-1,2496.60009765625
2025-11-06,-1,2455.5
2025-11-07,0,2678.300048828125
2025-11-10,0,2625.300048828125
2025-11-11,-1,2644.199951171875
2025-11-12,0,2775.39990234375
2025-11-13,0,2760.199951171875
2025-11-14,-1,2827.60009765625
2025-11-17,0,2811.89990234375
2025-11-18,0,2834.10009765625
2025-11-19,1,2898.300048828125
2025-11-20,0,2895.5
2025-11-21,1,2858.300048828125
2025-11-24,1,2802.199951171875
2025-11-25,0,2840.60009765625
2025-11-26,-1,2886.699951171875
2025-11-27,1,2929.10009765625
2025-11-28,1,2902.39990234375
2025-12-01,-1,2886.60009765625
2025-12-02,-1,2836.5
