,Signal,Close
2024-01-18,1,135.72999572753906
2024-01-19,-1,137.5800018310547
2024-01-23,-1,139.89999389648438
2024-01-24,1,141.57000732421875
2024-01-25,1,141.88999938964844
2024-01-29,0,141.64999389648438
2024-01-30,1,142.47999572753906
2024-01-31,0,140.47000122070312
2024-02-01,-1,139.6300048828125
2024-02-02,0,141.80999755859375
2024-02-05,0,141.80999755859375
2024-02-06,0,141.8300018310547
2024-02-07,0,141.36000061035156
2024-02-08,0,142.77999877929688
2024-02-09,0,143.42999267578125
2024-02-12,1,144.67999267578125
2024-02-13,1,143.3000030517578
2024-02-14,0,142.64999389648438
2024-02-15,0,143.74000549316406
2024-02-16,1,144.33999633789062
2024-02-20,-1,142.47000122070312
2024-02-21,-1,141.83999633789062
2024-02-22,-1,144.00999450683594
2024-02-23,-1,144.99000549316406
2024-02-26,-1,144.75
2024-02-27,1,145.19000244140625
2024-02-28,1,144.2100067138672
2024-02-29,1,143.85000610351562
2024-03-01,1,145.75
2024-03-04,1,147.6300048828125
2024-03-05,-1,146.42999267578125
2024-03-06,-1,145.32000732421875
2024-03-07,-1,146.2100067138672
2024-03-11,-1,146.32000732421875
2024-03-12,-1,145.91000366210938
2024-03-13,0,145.8000030517578
2024-03-14,1,145.85000610351562
2024-03-15,-1,145.07000732421875
2024-03-18,-1,144.83999633789062
2024-03-19,-1,145.0
2024-03-20,-1,145.25999450683594
2024-03-21,-1,148.27000427246094
2024-03-22,1,149.0399932861328
2024-03-26,0,149.7100067138672
2024-03-27,0,149.49000549316406
2024-03-28,-1,149.3800048828125
2024-04-01,1,150.10000610351562
2024-04-02,1,148.27000427246094
2024-04-03,-1,147.52999877929688
2024-04-04,-1,148.75
2024-04-05,-1,147.30999755859375
2024-04-08,-1,148.30999755859375
2024-04-09,-1,147.8000030517578
2024-04-10,-1,148.52000427246094
2024-04-12,-1,149.41000366210938
2024-04-15,-1,148.07000732421875
2024-04-16,-1,145.75
2024-04-18,-1,143.97000122070312
2024-04-19,-1,141.6300048828125
2024-04-22,0,141.66000366210938
2024-04-23,0,141.25
2024-04-24,1,143.3000030517578
2024-04-25,0,142.14999389648438
2024-04-26,0,144.8300018310547
2024-04-29,0,144.89999389648438
2024-04-30,0,144.72000122070312
2024-05-02,0,143.22999572753906
2024-05-03,0,144.13999938964844
2024-05-06,0,145.67999267578125
2024-05-07,-1,146.47999572753906
2024-05-08,-1,146.6199951171875
2024-05-09,0,146.0500030517578
2024-05-10,0,147.50999450683594
2024-05-13,0,147.10000610351562
2024-05-14,0,146.30999755859375
2024-05-15,0,148.2100067138672
2024-05-16,0,150.3300018310547
2024-05-17,0,149.49000549316406
2024-05-21,0,150.69000244140625
2024-05-22,1,150.97000122070312
2024-05-23,1,151.97999572753906
2024-05-24,1,150.69000244140625
2024-05-27,1,151.3800048828125
2024-05-28,1,151.6999969482422
2024-05-29,1,151.3000030517578
2024-05-30,1,150.88999938964844
2024-05-31,1,150.42999267578125
2024-06-03,1,150.61000061035156
2024-06-04,1,148.77999877929688
2024-06-05,1,150.19000244140625
2024-06-06,1,154.24000549316406
2024-06-07,0,154.8000030517578
2024-06-10,-1,154.3699951171875
2024-06-11,-1,154.5399932861328
2024-06-12,1,156.1300048828125
2024-06-13,0,158.92999267578125
2024-06-14,-1,159.24000549316406
2024-06-18,-1,162.02000427246094
2024-06-19,-1,162.33999633789062
2024-06-20,-1,163.22000122070312
2024-06-21,-1,161.66000366210938
2024-06-24,-1,161.36000061035156
2024-06-25,-1,160.27000427246094
2024-06-26,1,162.08999633789062
2024-06-27,0,162.22000122070312
2024-06-28,-1,162.80999755859375
2024-07-01,-1,161.94000244140625
2024-07-02,0,162.61000061035156
2024-07-03,1,163.9600067138672
2024-07-04,0,165.25999450683594
2024-07-05,0,165.97000122070312
2024-07-08,0,167.52999877929688
2024-07-09,0,168.55999755859375
2024-07-10,1,168.5800018310547
2024-07-11,0,169.88999938964844
2024-07-12,0,166.67999267578125
2024-07-15,0,168.92999267578125
2024-07-16,-1,167.9499969482422
2024-07-18,1,166.52000427246094
2024-07-19,1,161.9600067138672
2024-07-22,1,161.75999450683594
2024-07-23,0,162.49000549316406
2024-07-24,0,160.9199981689453
2024-07-25,0,156.67999267578125
2024-07-26,-1,156.92999267578125
2024-07-29,1,157.47999572753906
2024-07-30,1,156.5399932861328
2024-07-31,1,156.3000030517578
2024-08-01,-1,158.82000732421875
2024-08-02,-1,153.7899932861328
2024-08-05,1,145.0399932861328
2024-08-06,1,146.8699951171875
2024-08-07,1,149.3699951171875
2024-08-08,-1,147.60000610351562
2024-08-09,1,152.10000610351562
2024-08-12,1,151.77999877929688
2024-08-13,1,152.33999633789062
2024-08-14,0,154.83999633789062
2024-08-16,0,159.39999389648438
2024-08-19,0,158.6999969482422
2024-08-20,0,161.1300048828125
2024-08-21,0,160.6999969482422
2024-08-22,0,161.3800048828125
2024-08-23,0,159.75
2024-08-26,0,160.9199981689453
2024-08-27,0,160.02000427246094
2024-08-28,-1,160.57000732421875
2024-08-29,-1,158.72999572753906
2024-08-30,0,159.94000244140625
2024-09-02,-1,159.9600067138672
2024-09-03,-1,159.11000061035156
2024-09-04,-1,155.82000732421875
2024-09-05,-1,156.1300048828125
2024-09-06,0,154.6699981689453
2024-09-09,1,153.72000122070312
2024-09-10,1,153.4199981689453
2024-09-11,1,154.39999389648438
2024-09-12,1,157.4600067138672
2024-09-13,-1,158.47999572753906
2024-09-16,-1,158.89999389648438
2024-09-17,0,158.75999450683594
2024-09-18,0,157.47999572753906
2024-09-19,0,160.49000549316406
2024-09-20,-1,160.44000244140625
2024-09-23,-1,160.9199981689453
2024-09-24,-1,161.6300048828125
2024-09-25,-1,161.38999938964844
2024-09-26,0,164.72000122070312
2024-09-27,0,164.35000610351562
2024-09-30,-1,163.0800018310547
2024-10-01,-1,164.47000122070312
2024-10-03,-1,162.1999969482422
2024-10-04,0,162.39999389648438
2024-10-07,0,162.32000732421875
2024-10-08,0,162.58999633789062
2024-10-09,0,164.05999755859375
2024-10-10,0,165.1999969482422
2024-10-11,0,164.92999267578125
2024-10-14,0,165.82000732421875
2024-10-15,0,166.4600067138672
2024-10-16,-1,165.14999389648438
2024-10-17,0,165.75
2024-10-18,0,165.44000244140625
2024-10-21,0,165.2899932861328
2024-10-22,0,165.0500030517578
2024-10-23,0,165.85000610351562
2024-10-24,0,165.2899932861328
2024-10-25,0,165.86000061035156
2024-10-28,0,167.4199981689453
2024-10-29,0,166.91000366210938
2024-10-30,0,168.67999267578125
2024-10-31,0,166.27000427246094
2024-11-01,0,166.27000427246094
2024-11-04,0,164.02000427246094
2024-11-05,0,164.4199981689453
2024-11-06,0,171.5800018310547
2024-11-07,0,172.1199951171875
2024-11-08,0,175.0
2024-11-11,0,175.42999267578125
2024-11-12,0,174.86000061035156
2024-11-13,0,173.61000061035156
2024-11-14,1,174.85000610351562
2024-11-18,0,169.08999633789062
2024-11-19,1,169.2899932861328
2024-11-21,1,170.5800018310547
2024-11-22,0,172.41000366210938
2024-11-25,0,173.47999572753906
2024-11-26,-1,172.2100067138672
2024-11-27,1,175.22999572753906
2024-11-28,0,175.4199981689453
2024-11-29,-1,175.8800048828125
2024-12-02,0,178.3800048828125
2024-12-03,0,182.17999267578125
2024-12-04,-1,181.63999938964844
2024-12-05,-1,181.66000366210938
2024-12-06,0,179.85000610351562
2024-12-09,-1,183.2100067138672
2024-12-10,0,188.55999755859375
2024-12-11,0,192.4600067138672
2024-12-12,0,199.80999755859375
2024-12-13,-1,200.89999389648438
2024-12-16,-1,207.47000122070312
2024-12-17,-1,212.92999267578125
2024-12-18,-1,211.39999389648438
2024-12-19,1,207.94000244140625
2024-12-20,-1,200.9600067138672
2024-12-23,1,208.89999389648438
2024-12-24,-1,212.07000732421875
2024-12-26,1,214.5
2024-12-27,-1,217.50999450683594
2024-12-30,-1,215.6300048828125
2024-12-31,-1,214.2100067138672
2025-01-02,-1,210.77000427246094
2025-01-03,-1,210.9199981689453
2025-01-06,-1,205.02000427246094
2025-01-07,0,204.08999633789062
2025-01-08,-1,202.41000366210938
2025-01-09,0,201.17999267578125
2025-01-10,1,197.88999938964844
2025-01-13,1,189.5500030517578
2025-01-14,1,192.94000244140625
2025-01-15,1,191.33999633789062
2025-01-16,1,200.49000549316406
2025-01-17,-1,204.8000030517578
2025-01-20,1,211.66000366210938
2025-01-21,1,206.4600067138672
2025-01-22,-1,212.80999755859375
2025-01-23,-1,217.11000061035156
2025-01-24,-1,220.7899932861328
2025-01-27,0,209.7899932861328
2025-01-28,1,200.89999389648438
2025-01-29,-1,207.8699951171875
2025-01-30,-1,206.89999389648438
2025-01-31,0,206.3699951171875
2025-02-03,0,203.38999938964844
2025-02-04,0,207.02999877929688
2025-02-05,-1,209.4499969482422
2025-02-06,-1,209.19000244140625
2025-02-07,-1,209.32000732421875
2025-02-10,-1,207.91000366210938
2025-02-11,-1,208.3699951171875
2025-02-12,-1,207.17999267578125
2025-02-13,-1,206.77999877929688
2025-02-14,-1,205.44000244140625
2025-02-17,-1,205.35000610351562
2025-02-18,1,204.11000061035156
2025-02-19,-1,206.24000549316406
2025-02-20,-1,204.61000061035156
2025-02-21,-1,203.24000549316406
2025-02-24,-1,197.27999877929688
2025-02-25,-1,193.1999969482422
2025-02-27,-1,195.0
2025-02-28,1,183.92999267578125
2025-03-03,-1,187.6300048828125
2025-03-04,-1,182.92999267578125
2025-03-05,-1,183.72000122070312
2025-03-06,-1,186.5800018310547
2025-03-07,-1,186.74000549316406
2025-03-10,-1,187.24000549316406
2025-03-11,-1,181.39999389648438
2025-03-12,-1,179.25
2025-03-13,1,175.97999572753906
2025-03-17,1,180.77000427246094
2025-03-18,1,180.77000427246094
2025-03-19,1,182.07000732421875
2025-03-20,1,187.2100067138672
2025-03-21,-1,185.38999938964844
2025-03-24,-1,188.11000061035156
2025-03-25,1,187.6199951171875
2025-03-26,-1,184.74000549316406
2025-03-27,-1,183.42999267578125
2025-03-28,-1,181.4499969482422
2025-04-01,-1,180.27999877929688
2025-04-02,-1,181.6199951171875
2025-04-03,-1,180.32000732421875
2025-04-04,-1,174.9499969482422
2025-04-07,-1,163.4199981689453
2025-04-08,1,164.25
2025-04-09,1,163.3300018310547
2025-04-11,1,167.0500030517578
2025-04-15,1,167.9499969482422
2025-04-16,1,165.1300048828125
2025-04-17,1,165.5800018310547
2025-04-21,1,166.42999267578125
2025-04-22,1,166.0800018310547
2025-04-23,0,170.11000061035156
2025-04-24,0,169.36000061035156
2025-04-25,1,170.77999877929688
2025-04-28,1,170.77999877929688
2025-04-29,-1,169.49000549316406
2025-04-30,-1,169.5500030517578
2025-05-02,-1,169.94000244140625
2025-05-05,1,171.08999633789062
2025-05-06,0,169.85000610351562
2025-05-07,-1,169.1199951171875
2025-05-08,1,169.08999633789062
2025-05-09,1,169.07000732421875
2025-05-12,1,176.13999938964844
2025-05-13,0,176.49000549316406
2025-05-14,0,177.30999755859375
2025-05-15,0,178.7899932861328
2025-05-16,0,181.07000732421875
2025-05-19,-1,178.5399932861328
2025-05-20,-1,179.0800018310547
2025-05-21,0,178.27999877929688
2025-05-22,-1,177.49000549316406
2025-05-23,-1,177.32000732421875
2025-05-26,0,177.72999572753906
2025-05-27,0,176.86000061035156
2025-05-28,0,178.24000549316406
2025-05-29,0,180.7100067138672
2025-05-30,0,179.0399932861328
2025-06-02,1,178.50999450683594
2025-06-03,1,179.55999755859375
2025-06-04,1,181.36000061035156
2025-06-05,1,180.89999389648438
2025-06-06,1,180.32000732421875
2025-06-09,0,180.50999450683594
2025-06-10,-1,182.32000732421875
2025-06-11,-1,181.97999572753906
2025-06-12,0,181.00999450683594
2025-06-13,0,180.1699981689453
2025-06-16,-1,180.6300048828125
2025-06-17,-1,181.77000427246094
2025-06-18,-1,182.55999755859375
2025-06-19,-1,180.1199951171875
2025-06-20,-1,180.47000122070312
2025-06-23,-1,182.35000610351562
2025-06-24,1,183.6199951171875
2025-06-25,0,185.11000061035156
2025-06-26,0,187.22000122070312
2025-06-27,1,188.99000549316406
2025-06-30,0,192.97000122070312
2025-07-01,-1,192.0800018310547
2025-07-02,-1,190.1999969482422
2025-07-03,0,191.49000549316406
2025-07-04,0,191.58999633789062
2025-07-07,-1,191.92999267578125
2025-07-08,-1,191.7899932861328
2025-07-09,-1,191.66000366210938
2025-07-10,0,192.2100067138672
2025-07-11,-1,191.25
2025-07-14,0,191.14999389648438
2025-07-15,-1,192.74000549316406
2025-07-16,-1,192.52000427246094
2025-07-17,-1,193.3800048828125
2025-07-18,-1,195.52999877929688
2025-07-21,-1,196.6999969482422
2025-07-22,-1,198.41000366210938
2025-07-23,1,198.88999938964844
2025-07-24,-1,200.75999450683594
2025-07-25,-1,201.30999755859375
2025-07-28,-1,204.99000549316406
2025-07-29,-1,204.14999389648438
2025-07-30,-1,203.1699981689453
2025-07-31,-1,208.2899932861328
2025-08-01,-1,204.33999633789062
2025-08-04,-1,200.4199981689453
2025-08-05,-1,202.6300048828125
2025-08-06,-1,201.6699981689453
2025-08-07,0,202.4199981689453
2025-08-08,1,202.08999633789062
2025-08-11,1,202.88999938964844
2025-08-12,0,202.19000244140625
2025-08-13,0,204.3000030517578
2025-08-14,0,204.88999938964844
2025-08-18,0,205.77999877929688
2025-08-19,0,205.47999572753906
2025-08-20,0,203.47999572753906
